Feature_Set,Num_Features,Accuracy,Macro_F1,Weighted_F1
Without Streaming Features,97,0.9452083478746423,0.7413634929462086,0.9434505730793508
Full Feature Set,103,0.9455573392894535,0.7397282296677039,0.9436153646593387
Without Edge Features,95,0.9449291547427934,0.7382303336646935,0.9431916640929768
Without IoT Sensor Features,73,0.930829901584421,0.6778202620094415,0.9296777971041881
Without Network Features,93,0.9352271934110421,0.6694599114240969,0.9337722534238467
Without Cloud Features,80,0.934599008864382,0.6379751875456474,0.9318375010370614
Network Only,10,0.9068192922454108,0.5089482668096047,0.9038678027268147
Cloud Only,23,0.8936274167655476,0.4692150635158666,0.8925273021965888
Edge Only,8,0.8830180777552872,0.353882448562456,0.8795363513026813
IoT Sensor Only,30,0.8585886787185035,0.3402357105314887,0.8407935982511022
Streaming Only,6,0.8724087387450269,0.29353402648740373,0.8680992309581551
