,precision,recall,f1-score,support
botnet_c2,0.9722222222222222,0.9859154929577465,0.9790209790209791,142.0
credential_theft,0.7058823529411765,0.6736842105263158,0.6894075403949731,285.0
data_tampering,0.9964912280701754,0.9964912280701754,0.9964912280701754,285.0
ddos,0.4782608695652174,0.4883177570093458,0.48323699421965316,428.0
jamming,0.9930555555555556,1.0,0.9965156794425087,143.0
malware,0.965034965034965,0.968421052631579,0.9667250437828371,285.0
mqtt_flood,0.4844124700239808,0.47086247086247085,0.47754137115839246,429.0
normal,1.0,1.0,1.0,11751.0
replay_attack,0.21153846153846154,0.0763888888888889,0.11224489795918367,144.0
unauthorized_access,0.6289424860853432,0.7793103448275862,0.6960985626283368,435.0
accuracy,0.9455573392894535,0.9455573392894535,0.9455573392894535,0.9455573392894535
macro avg,0.7435840611037098,0.7439391445774108,0.7397282296677039,14327.0
weighted avg,0.9428236237416112,0.9455573392894535,0.9436153646593387,14327.0
