,precision,recall,f1-score,support
botnet_c2,0.9859154929577465,0.9859154929577465,0.9859154929577465,142.0
credential_theft,0.7011070110701108,0.6666666666666666,0.6834532374100719,285.0
data_tampering,0.9964912280701754,0.9964912280701754,0.9964912280701754,285.0
ddos,0.4851258581235698,0.4953271028037383,0.49017341040462425,428.0
jamming,0.9930555555555556,1.0,0.9965156794425087,143.0
malware,0.9615384615384616,0.9649122807017544,0.9632224168126094,285.0
mqtt_flood,0.48687350835322196,0.4755244755244755,0.4811320754716981,429.0
normal,1.0,1.0,1.0,11751.0
replay_attack,0.21739130434782608,0.034722222222222224,0.059880239520958084,144.0
unauthorized_access,0.6256590509666081,0.8183908045977012,0.7091633466135459,435.0
accuracy,0.9464647169679626,0.9464647169679626,0.9464647169679626,0.9464647169679626
macro avg,0.7453157470983276,0.7437950273544479,0.7365947126703938,14327.0
weighted avg,0.9430327033918382,0.9464647169679626,0.9436806724305291,14327.0
