Feature,Importance
num__binary_label,0.52090293
num__cloud_network_in_mbps,0.107506715
num__packet_loss_pct,0.06001228
num__sensor_temperature_c,0.05210743
num__uplink_kb,0.02611849
num__api_error_rate_pct,0.021988805
cat__application_context_energy_grid,0.019199848
num__ingestion_rate_msg_s,0.01580916
num__payload_entropy,0.011449501
num__db_query_latency_ms,0.01134151
num__link_quality_pct,0.005722315
num__edge_cpu_pct,0.0035397555
num__network_latency_ms,0.0023454253
cat__device_type_air_quality_node,0.0022647362
num__battery_pct,0.002247374
num__k8s_pod_ready,0.0019025187
cat__application_context_industrial_iot,0.0018560563
cat__device_type_plc_controller,0.0017835316
num__stream_lag_ms,0.0015165498
cat__device_type_robot_arm,0.0014477376
cat__connectivity_status_offline,0.0013067713
num__api_response_ms,0.0012969718
num__edge_to_cloud_delay_ms,0.0012410429
cat__application_context_autonomous_vehicle,0.0010927282
cat__model_M-335,0.0010689814
cat__k8s_cluster_cluster-05,0.0010500138
num__sensor_soil_moisture_pct,0.0010456772
cat__k8s_cluster_cluster-07,0.0010207079
cat__protocol_Zigbee,0.0010124237
num__cloud_cost_estimate_usd_hr,0.001008637
cat__device_type_camera,0.0009901279
cat__sync_status_failed,0.0009876789
cat__device_type_substation_gateway,0.000972277
cat__model_M-589,0.00096259447
cat__container_service_stream-processor,0.0009418556
num__edge_memory_pct,0.00091184874
cat__device_type_door_sensor,0.00090925366
cat__k8s_cluster_cluster-06,0.000894575
cat__device_type_street_light,0.0008872602
num__http_status_code,0.00088390463
cat__model_M-865,0.00086540054
num__sensor_heart_rate_bpm,0.0008638142
cat__k8s_cluster_cluster-01,0.00086228666
cat__device_type_solar_inverter,0.0008586322
cat__cloud_region_eu-west-2,0.000848418
num__sensor_pressure_hpa,0.0008471147
cat__auth_method_x509,0.0008449104
num__sensor_ph,0.000838306
cat__manufacturer_Voltix,0.0008373295
cat__k8s_cluster_cluster-08,0.0008354422
num__sensor_vibration_g,0.0008256314
num__jitter_ms,0.00080888637
num__db_cpu_pct,0.000802462
cat__cloud_provider_Azure,0.00079887954
cat__auth_method_jwt,0.0007977031
num__battery_voltage_v,0.00079455756
num__longitude,0.0007935324
cat__device_type_emergency_button,0.0007833562
cat__container_service_mqtt-bridge,0.000780374
num__device_risk_score,0.0007779609
cat__model_M-992,0.0007729298
cat__auth_method_oauth2,0.0007675175
cat__cloud_provider_Hybrid,0.00075705064
num__battery_temperature_c,0.00075474044
num__maintenance_due_days,0.00075151795
cat__model_M-145,0.0007491501
cat__k8s_cluster_cluster-03,0.0007426275
cat__availability_zone_b,0.00074202695
cat__device_type_thermostat,0.0007404048
num__latitude,0.0007380254
cat__device_type_vibration_sensor,0.0007284886
num__sensor_light_lux,0.00071978837
cat__model_M-918,0.0007194353
num__sensor_voltage_v,0.00071941933
num__edge_disk_pct,0.0007146537
cat__model_M-638,0.00070816366
num__firmware_age_days,0.0007073993
cat__model_M-219,0.00070715015
cat__cloud_provider_AWS,0.00070231466
cat__firmware_version_2.0.1,0.0006950361
num__mqtt_topic_depth,0.00069299305
cat__autoscaling_event_none,0.000691
cat__k8s_cluster_cluster-10,0.00068999873
cat__os_type_FreeRTOS,0.0006857158
cat__device_type_irrigation_controller,0.0006839531
cat__k8s_cluster_cluster-02,0.0006788097
num__sensor_water_flow_l_min,0.0006714959
num__altitude_m,0.00067032856
cat__k8s_cluster_cluster-09,0.0006690735
cat__model_M-493,0.0006661742
num__cloud_network_out_mbps,0.00066453335
num__cert_expiry_days,0.00066331355
num__queue_depth,0.00066241046
cat__model_M-643,0.00066015514
cat__model_M-914,0.00065944623
num__location_accuracy_m,0.0006574582
num__signal_snr_db,0.00065655203
cat__cloud_provider_PrivateCloud,0.00065599126
num__message_size_bytes,0.00065584155
num__sensor_speed_kmh,0.00065345864
num__downlink_kb,0.00065342645
cat__namespace_security,0.00065219315
num__sensor_power_w,0.0006510025
num__sensor_acceleration_ms2,0.0006494911
num__sensor_humidity_pct,0.000645171
num__cloud_cpu_pct,0.0006421479
cat__k8s_cluster_cluster-12,0.0006416557
cat__application_context_smart_city,0.00063987076
num__sensor_spo2_pct,0.0006395359
cat__model_M-458,0.0006392792
num__weekday,0.0006341275
num__tls_handshake_ms,0.0006305847
cat__protocol_HTTP,0.00062845857
num__device_uptime_s,0.00062832894
num__kafka_consumer_lag,0.0006275066
num__cache_hit_rate_pct,0.00062221446
cat__cloud_provider_GCP,0.00062168034
num__sensor_energy_kwh,0.000619575
num__k8s_pod_restarts,0.0006158881
num__sensor_current_a,0.00061416626
cat__protocol_NB-IoT,0.00061271625
cat__cloud_region_ap-southeast-1,0.0006085214
num__signal_rssi_dbm,0.00060677604
num__error_count_1h,0.00060663983
num__cloud_ack_delay_ms,0.00060622825
num__sensor_co2_ppm,0.0006040258
num__cloud_storage_pct,0.0006037129
num__install_age_days,0.00060164527
cat__cloud_region_us-west-2,0.00060160656
num__dropped_messages_1h,0.0006013043
cat__protocol_MQTT,0.0006000862
cat__namespace_prod,0.0005989051
num__replica_count,0.00059751363
cat__k8s_cluster_cluster-04,0.0005974673
cat__firmware_version_1.3.2,0.00059224776
num__db_connections,0.0005896264
cat__cloud_region_us-east-1,0.00058903935
num__mqtt_qos,0.0005880175
num__retransmission_count,0.0005817131
cat__manufacturer_CloudEdge,0.0005817118
num__vm_cpu_steal_pct,0.00057789317
num__dns_lookup_ms,0.00056964415
num__sensor_pm25_ugm3,0.0005643226
cat__manufacturer_MedNode,0.0005614405
num__gateway_uptime_s,0.0005613039
cat__manufacturer_NexoSense,0.0005611721
cat__model_M-892,0.0005601162
num__edge_temperature_c,0.0005583885
