Feature,Importance
num__packet_loss_pct,1229
num__sensor_temperature_c,1136
num__uplink_kb,1109
num__payload_entropy,1015
num__ingestion_rate_msg_s,688
num__cloud_network_in_mbps,619
num__link_quality_pct,598
num__network_latency_ms,500
num__battery_pct,480
num__edge_cpu_pct,463
num__api_response_ms,456
num__edge_to_cloud_delay_ms,433
num__stream_lag_ms,422
num__api_error_rate_pct,420
num__edge_memory_pct,407
num__signal_rssi_dbm,405
num__signal_snr_db,398
num__cloud_cost_estimate_usd_hr,397
num__edge_disk_pct,372
num__latitude,356
num__sensor_power_w,337
num__battery_temperature_c,337
num__longitude,329
num__maintenance_due_days,315
num__altitude_m,311
num__cloud_memory_pct,310
num__device_risk_score,308
num__sensor_energy_kwh,305
num__dropped_messages_1h,299
num__db_query_latency_ms,296
num__install_age_days,289
num__cloud_cpu_pct,287
num__vm_cpu_steal_pct,285
num__sensor_gas_ppm,284
num__sensor_vibration_g,284
num__location_accuracy_m,281
num__firmware_age_days,280
num__battery_voltage_v,277
num__dns_lookup_ms,270
num__cloud_network_out_mbps,269
num__sensor_voltage_v,268
num__sensor_sound_db,265
num__db_cpu_pct,263
num__jitter_ms,258
num__gateway_uptime_s,256
num__sensor_co2_ppm,255
num__cloud_storage_pct,255
num__sensor_pressure_hpa,254
num__sensor_current_a,254
num__error_count_1h,252
num__message_size_bytes,252
num__edge_temperature_c,248
num__downlink_kb,242
num__retransmission_count,241
num__cert_expiry_days,241
num__sensor_pm25_ugm3,241
num__sensor_humidity_pct,241
num__sensor_water_flow_l_min,240
num__cloud_ack_delay_ms,240
num__sensor_acceleration_ms2,236
num__tls_handshake_ms,235
num__sensor_light_lux,231
num__kafka_consumer_lag,228
num__device_uptime_s,221
num__cache_hit_rate_pct,200
num__warning_count_1h,200
num__queue_depth,197
num__db_connections,188
num__replica_count,188
num__kafka_partition,177
num__day,162
num__sensor_speed_kmh,159
num__hour,147
cat__application_context_energy_grid,124
num__k8s_pod_restarts,113
num__reboot_count_24h,112
cat__model_M-402,100
num__sensor_spo2_pct,77
num__sensor_heart_rate_bpm,71
num__weekday,71
cat__application_context_industrial_iot,61
num__sensor_soil_moisture_pct,60
cat__model_M-453,59
cat__model_M-283,57
num__http_status_code,55
num__mqtt_topic_depth,49
num__coap_response_code,47
num__sensor_ph,45
cat__model_M-203,43
num__mqtt_qos,41
cat__model_M-643,41
cat__model_M-407,40
cat__application_context_smart_city,38
cat__model_M-701,36
cat__model_M-151,36
cat__model_M-575,35
cat__model_M-158,35
cat__application_context_smart_home,35
cat__model_M-457,34
cat__application_context_smart_healthcare,34
cat__model_M-134,33
cat__model_M-949,32
cat__auth_method_sas_token,32
cat__model_M-278,30
cat__model_M-306,30
cat__model_M-518,30
cat__model_M-875,29
cat__model_M-119,29
