Feature,Mean_SHAP_Value
num__api_error_rate_pct,0.4818374300964444
num__packet_loss_pct,0.44658091530089056
num__db_query_latency_ms,0.27479508539728337
num__cloud_network_in_mbps,0.18350039047088942
num__payload_entropy,0.1374733250099978
num__uplink_kb,0.1287744480278567
num__sensor_temperature_c,0.10156996275117533
num__stream_lag_ms,0.09764023103343149
num__cloud_cost_estimate_usd_hr,0.08476934065975422
num__ingestion_rate_msg_s,0.07375285312495694
num__battery_pct,0.05646620044838933
num__edge_cpu_pct,0.04395289378467833
num__network_latency_ms,0.042264087800192564
num__edge_memory_pct,0.03207621516559678
num__link_quality_pct,0.03204059499016347
num__edge_to_cloud_delay_ms,0.03097030623668047
num__vm_cpu_steal_pct,0.028941271779425206
num__signal_snr_db,0.028296842594319263
num__device_risk_score,0.02733035140956507
num__signal_rssi_dbm,0.021406455594182066
num__jitter_ms,0.020824543030175946
num__edge_disk_pct,0.019366476274455747
num__battery_voltage_v,0.018568499489485937
num__dns_lookup_ms,0.018261814064510804
num__maintenance_due_days,0.018194734035536463
num__sensor_current_a,0.01804509995070677
num__latitude,0.017783453682280865
num__api_response_ms,0.017728589019680704
num__cert_expiry_days,0.01699661648482855
num__cloud_ack_delay_ms,0.016221219406177146
num__cache_hit_rate_pct,0.01601028402869975
num__firmware_age_days,0.015137669686410386
num__battery_temperature_c,0.014899849841466029
num__sensor_co2_ppm,0.01477702926837377
num__cloud_network_out_mbps,0.014483138677453633
num__cloud_cpu_pct,0.014471220373535341
num__cloud_storage_pct,0.014227683703322608
num__sensor_pressure_hpa,0.014115065895028495
num__sensor_voltage_v,0.01404783610852079
num__longitude,0.013418560043624317
num__sensor_speed_kmh,0.012932557910255464
num__dropped_messages_1h,0.012900956583631128
num__install_age_days,0.012604235602316756
num__sensor_humidity_pct,0.01205532803792078
num__queue_depth,0.011921685668574005
num__altitude_m,0.011673844538434869
num__gateway_uptime_s,0.01164444180645018
num__sensor_power_w,0.011564620595557086
num__sensor_light_lux,0.011556317915174205
num__sensor_energy_kwh,0.011525151265296156
num__day,0.011484430193838312
num__location_accuracy_m,0.011455464938291336
num__edge_temperature_c,0.011241274239220974
num__db_cpu_pct,0.01101652186534394
num__tls_handshake_ms,0.010970196143344985
num__cloud_memory_pct,0.01074539039955233
num__downlink_kb,0.01046259557361184
num__sensor_sound_db,0.010321985861853362
cat__auth_method_jwt,0.010247757666168663
num__sensor_water_flow_l_min,0.01023144162236106
cat__cloud_region_eu-west-2,0.010050271867952243
num__sensor_vibration_g,0.00963189123630838
num__sensor_pm25_ugm3,0.00934893148218677
num__message_size_bytes,0.008876159605443783
num__sensor_gas_ppm,0.008744935941763263
num__kafka_partition,0.008583084039796057
num__kafka_consumer_lag,0.00811993717975861
num__device_uptime_s,0.008038218873459955
num__retransmission_count,0.007551428532090649
num__sensor_acceleration_ms2,0.007485148146030252
num__hour,0.006825242610629359
