,precision,recall,f1-score,support
botnet_c2,1.0,0.9935483870967742,0.9967637540453075,155.0
credential_theft,0.6975308641975309,0.7583892617449665,0.7266881028938906,298.0
data_tampering,1.0,0.9915254237288136,0.9957446808510638,236.0
ddos,0.48775055679287305,0.518957345971564,0.5028702640642939,422.0
jamming,1.0,1.0,1.0,155.0
malware,0.9638989169675091,0.9335664335664335,0.9484902309058615,286.0
mqtt_flood,0.49,0.460093896713615,0.4745762711864407,426.0
normal,1.0,1.0,1.0,11764.0
replay_attack,0.21875,0.10687022900763359,0.14358974358974358,131.0
unauthorized_access,0.6778656126482213,0.7555066079295154,0.7145833333333333,454.0
accuracy,0.9473022963635095,0.9473022963635095,0.9473022963635095,0.9473022963635095
macro avg,0.7535795950606134,0.7518457585759315,0.7503306380869936,14327.0
weighted avg,0.9453840483627036,0.9473022963635095,0.9460408473486056,14327.0
