Feature,Mean_SHAP_Value
num__api_error_rate_pct,0.4818374300964444
num__packet_loss_pct,0.44658091530089056
num__db_query_latency_ms,0.27479508539728337
num__cloud_network_in_mbps,0.18350039047088942
num__payload_entropy,0.1374733250099978
num__uplink_kb,0.1287744480278567
num__sensor_temperature_c,0.10156996275117533
num__stream_lag_ms,0.09764023103343149
num__cloud_cost_estimate_usd_hr,0.08476934065975422
num__ingestion_rate_msg_s,0.07375285312495694
num__battery_pct,0.05646620044838933
num__edge_cpu_pct,0.04395289378467833
num__network_latency_ms,0.042264087800192564
num__edge_memory_pct,0.03207621516559678
num__link_quality_pct,0.03204059499016347
num__edge_to_cloud_delay_ms,0.03097030623668047
num__vm_cpu_steal_pct,0.028941271779425206
num__signal_snr_db,0.028296842594319263
num__device_risk_score,0.02733035140956507
num__signal_rssi_dbm,0.021406455594182066
